section	div-fr	div-en
jurisprudence	Jurisprudence	Jurisprudence
bibliographie	Bibliographie	Bibliography
faits	Faits & Informations	Facts & Information
documents	Documents	Documents
questions	Questions et Solutions Pratiques	Questions and Practical Solutions
congres	Congrès, Conférences, Associations, Arbitrages, Organismes Internationaux	Congresses, Conferences, etc.
analyses	Analyses et Extraits	Analysis and Extracts
chronique	Chronique de l'Actualité, etc. (various)	Chronicle of Events
revue	Revue des Revues	Review of Reviews
actualites	Actualités	News
comptes	Comptes Rendus	Reviews
bulletin	Bulletin	Bulletin
membres	Liste des Membres	List of Members
reunions	Séances, etc. (various meetings and official business of the societies)	Sessions
lois	Liste des Lois	List of Laws
varietes	Variétés	Varieties
publicationNotes	miscellaneous notes about publication	Miscellaneous notes about publication
article	Articles	Articles
notices	Notices	Notices
correspondance	Correspondance	Correspondance
