Column 1,Latlong,Latlong 1,Latlong 2
Adelaide,"-34.9284989, 138.6007456",-34.9284989,138.6007456
Aden,"12.7854969, 45.0186548",12.7854969,45.0186548
Alexandretta,"36.584673, 36.1756161",36.584673,36.1756161
Alexandria,"31.2000924, 29.9187387",31.2000924,29.9187387
Antwerp,"51.2194475, 4.4024643",51.2194475,4.4024643
Assouan,"24.088938, 32.8998293",24.088938,32.8998293
Australia,"-25.274398, 133.775136",-25.274398,133.775136
Beira,"-19.7963816, 34.8844867",-19.7963816,34.8844867
Berlin,"52.52000659999999, 13.404954",52.5200066,13.404954
Beirut,"33.8937913, 35.5017767",33.8937913,35.5017767
Beyrouth,"33.8937913, 35.5017767",33.8937913,35.5017767
Bombay,"18.975, 72.825833",18.975,72.825833
Bordeaux,"44.837789, -0.57918",44.837789,-0.57918
Caiffa,"45.9998453, 1.4716264",45.9998453,1.4716264
Cairo,"30.0444196, 31.2357116",30.0444196,31.2357116
Calcutta,"22.572646, 88.36389500000001",22.572646,88.363895
Cape Town,"-33.9248685, 18.4240553",-33.9248685,18.4240553
Colombo,"6.9270786, 79.861243",6.9270786,79.861243
Constantinople,"41.0082376, 28.9783589",41.0082376,28.9783589
Cyprus,"35, 33",35,33
Damascus,"33.513056, 36.291944",33.513056,36.291944
Diego-Suares,"-12.3231349, 49.2942833",-12.3231349,49.2942833
Djibouti,"11.825138, 42.590275",11.825138,42.590275
Freemantle,"-32.0569, 115.7439",-32.0569,115.7439
Genoa,"44.4056499, 8.946256",44.4056499,8.946256
Gibraltar,"36.140751, -5.353585",36.140751,-5.353585
Halfa,"21.783333, 31.366667",21.783333,31.366667
Hamburg,"53.565278, 10.001389",53.565278,10.001389
Hodeidah,"14.7909118, 42.9708838",14.7909118,42.9708838
Hong-kong,"22.396428, 114.109497",22.396428,114.109497
Jaffa,"32.049357, 34.758355",32.049357,34.758355
Jeddah,"21.2854067, 39.2375507",21.2854067,39.2375507
Jerusalem,"31.768319, 35.21371",31.768319,35.21371
Khartoum,"15.5006544, 32.5598994",15.5006544,32.5598994
Kobe,"34.690083, 135.1955112",34.690083,135.1955112
La Réunion,"-21.115141, 55.536384",-21.115141,55.536384
Larnaca,"34.9002535, 33.6231723",34.9002535,33.6231723
Liverpool,"53.4, -3",53.4,-3
London,"51.5073509, -0.1277583",51.5073509,-0.1277583
Mabé,"27.516667, 86.766667",27.516667,86.766667
Madras,"13.0826802, 80.2707184",13.0826802,80.2707184
Majunga,"-15.6921494, 46.3336857",-15.6921494,46.3336857
Malta,"35.937496, 14.375416",35.937496,14.375416
Marseilles,"43.296482, 5.36978",43.296482,5.36978
Massowah,"15.607875, 39.4553839",15.607875,39.4553839
Maurice,"-20.2, 57.5",-20.2,57.5
Mayotte,"-12.8275, 45.166244",-12.8275,45.166244
Melbourne,"-37.8136276, 144.9630576",-37.8136276,144.9630576
Mersina,"36.8, 34.633333",36.8,34.633333
Mitylene,"39.1067382, 26.5572747",39.1067382,26.5572747
Mombasa,"-4.0434771, 39.6682065",-4.0434771,39.6682065
Mutsamudu,"-12.1695811, 44.40047",-12.1695811,44.40047
Naples,"40.8517746, 14.2681244",40.8517746,14.2681244
Nazareth,"32.699635, 35.303546",32.699635,35.303546
Nossi-bé,"-13.3150186, 48.2592606",-13.3150186,48.2592606
Noumes,"-22.2558234, 166.4505243",-22.2558234,166.4505243
Paris,"48.856614, 2.3522219",48.856614,2.3522219
Piraeus,"37.9429857, 23.6469832",37.9429857,23.6469832
Plymouth,"50.371389, -4.142222",50.371389,-4.142222
Port Said,"31.2652893, 32.3018661",31.2652893,32.3018661
Port Sudan,"19.5903471, 37.1901616",19.5903471,37.1901616
Port Tewfik,"29.9336894, 32.5621381",29.9336894,32.5621381
Rangoon,"16.8660694, 96.19513200000002",16.8660694,96.195132
Rotterdam,"51.9244201, 4.4777326",51.9244201,4.4777326
Saigon,"10.8230989, 106.6296638",10.8230989,106.6296638
Shanghai,"31.2303904, 121.4737021",31.2303904,121.4737021
Sidney,"-33.865, 151.209444",-33.865,151.209444
Sinai,"29.5, 34",29.5,34
Singapore,"1.352083, 103.819836",1.352083,103.819836
Smyrna,"38.42, 27.14",38.42,27.14
Ste. Marie,"-16.916667, 49.9",-16.916667,49.9
Suakim,"19.1040389, 37.3292861",19.1040389,37.3292861
Suakin,"19.1040389, 37.3292861",19.1040389,37.3292861
Suez,"29.9668343, 32.5498069",29.9668343,32.5498069
Tamatave,"-18.1442811, 49.3957836",-18.1442811,49.3957836
Tilbury,"51.463024, 0.360498",51.463024,0.360498
Tor,"28.2410098, 33.6229813",28.2410098,33.6229813
Tripoli,"34.433333, 35.85",34.433333,35.85
Tuticorin,"8.764166099999999, 78.1348361",8.7641661,78.1348361
Vienna,"48.2081743, 16.3738189",48.2081743,16.3738189
Yambo,"24.083333, 38",24.083333,38
Yokohama,"35.4437078, 139.6380256",35.4437078,139.6380256
Zanzibar,"-6.165916999999999, 39.202641",-6.165917,39.202641
Mecca,"21.416667, 39.816667",21.416667,39.816667
Tehran,"35.689167, 51.388889",35.689167,51.388889
Aleppo,"36.216667, 37.166667",36.216667,37.166667
Amman,"31.949722, 35.932778",31.949722,35.932778
Baghdad,"33.333333, 44.383333",33.333333,44.383333
Fez,"34.033333, -5",34.033333,-5
