index,systemID,year,Pages,notes,number,date
1,bslc-01-1869-1.xml,1869,19,7,1,1869-03-01
2,bslc-01-1869-2.xml,1869,23,11,2,1869-04-01
3,bslc-01-1869-3.xml,1869,35,20,3,1869-05-01
4,bslc-01-1869-4.xml,1869,39,12,4,1869-06-01
5,bslc-01-1869-5.xml,1869,23,15,5,1869-07-01
6,bslc-01-1869-6.xml,1869,23,8,6,1869-08-01
7,bslc-01-1870-1.xml,1870,67,7,1,1870-02-01
8,bslc-01-1870-2.xml,1870,27,6,2,1870-03-01
9,bslc-01-1870-3.xml,1870,55,9,3,1870-04-01
10,bslc-01-1870-4.xml,1870,97,6,4,1870-07-01
11,bslc-01-1871-1.xml,1871,23,24,1,1871-12-01
12,bslc-01-1872-2.xml,1872,39,11,2,1872-01-01
13,bslc-01-1872-3.xml,1872,27,25,3,1872-02-01
14,bslc-01-1872-4.xml,1872,47,21,4,1872-03-01
15,bslc-01-1872-5.xml,1872,27,7,5,1872-04-01
16,bslc-01-1872-6.xml,1872,51,14,6,1872-05-01
17,bslc-01-1872-7.xml,1872,63,9,7,1872-06-01
18,bslc-01-1872-8.xml,1872,83,6,8,1872-07-01
19,bslc-02-1873-1.xml,1873,98,22,1,1873-01-01
20,bslc-02-1873-2.xml,1873,34,13,2,1873-02-01
21,bslc-02-1873-3.xml,1873,55,15,3,1873-03-01
22,bslc-02-1873-4.xml,1873,67,25,4,1873-04-01
23,bslc-02-1873-5.xml,1873,59,29,5,1873-05-01
24,bslc-02-1873-6.xml,1873,51,8,6,1873-06-01
25,bslc-02-1873-7.xml,1873,55,16,7,1873-07-01
26,bslc-03-1874-1.xml,1874,55,6,1,1874-01-01
27,bslc-03-1874-2.xml,1874,55,45,2,1874-02-01
28,bslc-03-1874-3.xml,1874,77,31,3,1874-03-01
29,bslc-03-1874-4.xml,1874,47,6,4,1874-04-01
30,bslc-03-1874-5.xml,1874,55,32,5,1874-05-01
31,bslc-03-1874-6.xml,1874,63,14,6,1874-06-01
32,bslc-03-1874-7.xml,1874,59,27,7,1874-07-01
33,bslc-04-1875-1.xml,1875,55,6,1,1875-01-01
34,bslc-04-1875-2.xml,1875,59,14,2,1875-02-01
35,bslc-04-1875-3.xml,1875,63,18,3,1875-03-01
36,bslc-04-1875-4.xml,1875,59,10,4,1875-04-01
37,bslc-04-1875-5.xml,1875,63,60,5,1875-05-01
38,bslc-04-1875-6.xml,1875,55,15,6,1875-06-01
39,bslc-04-1875-7.xml,1875,78,16,7,1875-07-01
40,bslc-05-1876-1.xml,1876,75,16,1,1876-01-01
41,bslc-05-1876-2.xml,1876,83,31,2,1876-02-01
42,bslc-05-1876-3.xml,1876,75,31,3,1876-03-01
43,bslc-05-1876-4.xml,1876,71,8,4,1876-04-01
44,bslc-05-1876-5.xml,1876,75,27,5,1876-05-01
45,bslc-05-1876-6.xml,1876,79,35,6,1876-06-01
46,bslc-05-1876-7.xml,1876,119,43,7,1876-07-01
47,bslc-06-1877-1.xml,1877,87,22,1,1877-01-01
48,bslc-06-1877-2.xml,1877,85,12,2,1877-02-01
49,bslc-06-1877-3.xml,1877,46,7,3,1877-03-01
50,bslc-06-1877-4.xml,1877,55,29,4,1877-04-01
51,bslc-06-1877-5.xml,1877,75,49,5,1877-05-01
52,bslc-06-1877-6.xml,1877,87,18,6,1877-06-01
53,bslc-06-1877-7.xml,1877,107,67,7,1877-07-01
54,bslc-07-1878-1.xml,1878,95,10,1,1878-01-01
55,bslc-07-1878-2.xml,1878,87,39,2,1878-02-01
56,bslc-07-1878-3.xml,1878,51,12,3,1878-03-01
57,bslc-07-1878-4.xml,1878,87,42,4,1878-04-01
58,bslc-07-1878-5.xml,1878,71,7,5,1878-05-01
59,bslc-07-1878-6.xml,1878,63,14,6,1878-06-01
60,bslc-07-1878-7.xml,1878,79,11,7,1878-07-01
61,bslc-07-1878-8.xml,1878,87,49,8,1878-08-01
62,bslc-08-1879-1.xml,1879,95,12,1,1879-01-01
63,bslc-08-1879-2.xml,1879,67,16,2,1879-02-01
64,bslc-08-1879-3.xml,1879,77,66,3,1879-03-01
65,bslc-08-1879-4.xml,1879,55,6,4,1879-04-01
66,bslc-08-1879-5.xml,1879,77,32,5,1879-05-01
67,bslc-08-1879-6.xml,1879,67,34,6,1879-06-01
68,bslc-08-1879-7.xml,1879,76,20,7,1879-07-01
69,bslc-09-1880-1.xml,1880,95,13,1,1880-01-01
70,bslc-09-1880-2.xml,1880,91,15,2,1880-02-01
71,bslc-09-1880-3.xml,1880,39,24,3,1880-03-01
72,bslc-09-1880-4.xml,1880,78,25,4,1880-04-01
73,bslc-09-1880-5.xml,1880,55,23,5,1880-05-01
74,bslc-09-1880-6.xml,1880,50,52,6,1880-06-01
75,bslc-09-1880-7.xml,1880,159,53,7,1880-07-01
76,bslc-10-1881-1.xml,1881,41,11,1,1881-01-01
77,bslc-10-1881-2.xml,1881,47,15,2,1881-02-01
78,bslc-10-1881-3.xml,1881,119,43,3,1881-03-01
79,bslc-10-1881-4.xml,1881,75,41,4,1881-04-01
80,bslc-10-1881-5.xml,1881,71,35,5,1881-05-01
81,bslc-10-1881-6.xml,1881,61,28,6,1881-06-01
82,bslc-10-1881-7.xml,1881,117,28,7,1881-07-01
83,bslc-11-1882-1.xml,1882,87,75,1,1882-01-01
84,bslc-11-1882-2.xml,1882,94,58,2,1882-02-01
85,bslc-11-1882-3.xml,1882,47,42,3,1882-03-01
86,bslc-11-1882-4.xml,1882,55,16,4,1882-04-01
87,bslc-11-1882-5.xml,1882,75,26,5,1882-05-01
88,bslc-11-1882-6.xml,1882,95,38,6,1882-06-01
89,bslc-11-1882-7.xml,1882,163,59,7,1882-07-01
90,bslc-12-1883-1.xml,1883,80,57,1,1883-01-01
91,bslc-12-1883-2.xml,1883,67,18,2,1883-02-01
92,bslc-12-1883-3.xml,1883,79,57,3,1883-03-01
93,bslc-12-1883-4.xml,1883,59,48,4,1883-04-01
94,bslc-12-1883-5.xml,1883,90,21,5,1883-05-01
95,bslc-12-1883-6.xml,1883,63,45,6,1883-06-01
96,bslc-12-1883-7.xml,1883,121,54,7,1883-07-01
97,bslc-13-1884-1.xml,1884,81,28,1,1884-01-01
98,bslc-13-1884-2.xml,1884,49,12,2,1884-02-01
99,bslc-13-1884-3.xml,1884,71,27,3,1884-03-01
100,bslc-13-1884-4.xml,1884,77,59,4,1884-04-01
101,bslc-13-1884-5.xml,1884,91,63,5,1884-05-01
102,bslc-13-1884-6.xml,1884,181,144,6,1884-06-01
103,bslc-13-1884-7.xml,1884,109,31,7,1884-07-01
104,bslc-14-1885-1.xml,1885,92,21,1,1885-01-01
105,bslc-14-1885-2.xml,1885,55,7,2,1885-02-01
106,bslc-14-1885-3.xml,1885,55,6,3,1885-03-01
107,bslc-14-1885-4.xml,1885,43,8,4,1885-04-01
108,bslc-14-1885-5.xml,1885,75,9,5,1885-05-01
109,bslc-14-1885-6.xml,1885,98,45,6,1885-06-01
110,bslc-14-1885-7.xml,1885,232,34,7,1885-07-01
111,bslc-15-1886-1.xml,1886,95,39,1,1886-01-01
112,bslc-15-1886-2.xml,1886,98,21,2,1886-02-01
113,bslc-15-1886-3.xml,1886,39,35,3,1886-03-01
114,bslc-15-1886-4.xml,1886,102,33,4,1886-04-01
115,bslc-15-1886-5.xml,1886,90,22,5,1886-05-01
116,bslc-15-1886-6.xml,1886,71,47,6,1886-06-01
117,bslc-15-1886-7.xml,1886,156,98,7,1886-07-01
118,bslc-16-1887-1.xml,1887,51,32,1,1887-01-01
119,bslc-16-1887-2.xml,1887,119,117,2,1887-02-01
120,bslc-16-1887-3.xml,1887,47,56,3,1887-03-01
121,bslc-16-1887-4.xml,1887,59,8,4,1887-05-04
122,bslc-16-1887-5.xml,1887,71,10,5,1887-05-01
123,bslc-16-1887-6.xml,1887,70,63,6,1887-06-01
124,bslc-16-1887-7.xml,1887,63,66,7,1887-07-01
125,bslc-17-1888-1.xml,1888,69,17,1,1888-01-01
126,bslc-17-1888-2.xml,1888,137,41,2,1888-02-01
127,bslc-17-1888-3.xml,1888,101,17,3,1888-03-01
128,bslc-17-1888-4.xml,1888,67,15,4,1888-04-01
129,bslc-17-1888-5.xml,1888,103,40,5,1888-05-01
130,bslc-17-1888-6.xml,1888,119,61,6,1888-06-01
131,bslc-17-1888-7.xml,1888,96,15,7,1888-07-01
132,bslc-18-1889-1.xml,1889,81,34,1,1889-01-01
133,bslc-18-1889-2.xml,1889,163,123,2,1889-02-01
134,bslc-18-1889-3.xml,1889,82,34,3,1889-03-01
135,bslc-18-1889-4.xml,1889,99,47,4,1889-05-01
136,bslc-18-1889-5.xml,1889,95,63,5,1889-05-01
137,bslc-18-1889-6.xml,1889,135,116,6,1889-06-01
138,bslc-18-1889-7.xml,1889,76,13,7,1889-07-01
139,bslc-19-1890-1.xml,1890,105,44,1,1890-01-01
140,bslc-19-1890-2.xml,1890,127,27,2,1890-02-01
141,bslc-19-1890-3.xml,1890,71,36,3,1890-03-01
142,bslc-19-1890-4.xml,1890,83,34,4,1890-04-01
143,bslc-19-1890-5.xml,1890,75,12,5,1890-05-01
144,bslc-19-1890-6.xml,1890,87,20,6,1890-06-01
145,bslc-19-1890-7.xml,1890,147,16,7,1890-07-01
146,bslc-20-1891-1.xml,1891,95,22,1,1891-01-01
147,bslc-20-1891-2.xml,1891,87,16,2,1891-02-01
148,bslc-20-1891-3.xml,1891,47,11,3,1891-03-01
149,bslc-20-1891-4.xml,1891,83,26,4,1891-04-01
150,bslc-20-1891-5.xml,1891,83,39,5,1891-05-01
151,bslc-20-1891-6.xml,1891,119,26,6,1891-06-01
152,bslc-20-1891-7.xml,1891,100,31,7,1891-07-01
153,bslc-21-1892-1.xml,1892,77,22,1,1892-01-01
154,bslc-21-1892-2.xml,1892,83,25,2,1892-02-01
155,bslc-21-1892-3.xml,1892,95,41,3,1892-03-01
156,bslc-21-1892-4.xml,1892,147,142,4,1892-04-01
157,bslc-21-1892-5.xml,1892,67,26,5,1892-06-01
158,bslc-21-1892-6.xml,1892,87,24,6,1892-08-01
159,bslc-21-1892-7.xml,1892,30,8,7,1892-10-01
160,bslc-22-1893-1.xml,1893,68,37,1,1893-01-01
161,bslc-22-1893-2.xml,1893,83,105,2,1893-02-01
162,bslc-22-1893-3.xml,1893,55,12,3,1893-03-01
163,bslc-22-1893-4.xml,1893,91,42,4,1893-04-01
164,bslc-22-1893-5.xml,1893,91,31,5,1893-06-01
165,bslc-22-1893-6.xml,1893,111,71,6,1893-08-01
166,bslc-22-1893-7.xml,1893,58,21,7,1893-10-01
167,bslc-23-1894-1.xml,1894,56,25,1,1894-01-01
168,bslc-23-1894-2.xml,1894,75,31,2,1894-02-01
169,bslc-23-1894-3.xml,1894,71,14,3,1894-03-01
170,bslc-23-1894-4.xml,1894,119,50,4,1894-04-01
171,bslc-23-1894-5.xml,1894,67,18,5,1894-06-01
172,bslc-23-1894-6.xml,1894,43,11,6,1894-08-01
