index,systemID,year,date
1,clunet-1874-1,1874,1874-01-01
2,clunet-1874-2,1874,1874-03-01
3,clunet-1874-3,1874,1874-05-01
4,clunet-1874-4,1874,1874-07-01
5,clunet-1874-5,1874,1874-09-01
6,clunet-1874-6,1874,1874-11-01
7,clunet-1875-1,1875,1875-01-01
8,clunet-1875-2,1875,1875-04-01
9,clunet-1875-3,1875,1875-05-01
10,clunet-1875-4,1875,1875-07-01
11,clunet-1875-5,1875,1875-09-01
12,clunet-1875-6,1875,1875-11-01
13,clunet-1876-1,1876,1876-01-01
14,clunet-1876-2,1876,1876-03-01
15,clunet-1876-3,1876,1876-05-01
16,clunet-1876-4,1876,1876-07-01
17,clunet-1876-5,1876,1876-09-01
18,clunet-1876-6,1876,1876-11-01
19,clunet-1877-1,1877,1877-01-01
20,clunet-1877-2,1877,1877-03-01
21,clunet-1877-3,1877,1877-05-01
22,clunet-1877-4,1877,1877-07-01
23,clunet-1877-5,1877,1877-09-01
24,clunet-1877-6,1877,1877-11-01
25,clunet-1878-1,1878,1878-01-01
26,clunet-1878-2,1878,1878-03-01
27,clunet-1878-3,1878,1878-05-01
28,clunet-1878-4,1878,1878-07-01
29,clunet-1878-5,1878,1878-09-01
30,clunet-1878-6,1878,1878-11-01
31,clunet-1879-1,1879,1879-01-01
32,clunet-1879-2,1879,1879-03-01
33,clunet-1879-3,1879,1879-05-01
34,clunet-1879-4,1879,1879-07-01
35,clunet-1879-5,1879,1879-09-01
36,clunet-1879-6,1879,1879-11-01
37,clunet-1880-1,1880,1880-01-01
38,clunet-1880-2,1880,1880-03-01
39,clunet-1880-3,1880,1880-05-01
40,clunet-1880-4,1880,1880-07-01
41,clunet-1880-5,1880,1880-09-01
42,clunet-1880-6,1880,1880-11-01
43,clunet-1881-1,1881,1881-01-01
44,clunet-1881-2,1881,1881-03-01
45,clunet-1881-3,1881,1881-05-01
46,clunet-1881-4,1881,1881-07-01
47,clunet-1881-5,1881,1881-09-01
48,clunet-1881-6,1881,1881-11-01
49,clunet-1882-1,1882,1882-01-01
50,clunet-1882-2,1882,1882-03-01
51,clunet-1882-3,1882,1882-05-01
52,clunet-1882-4,1882,1882-07-01
53,clunet-1882-5,1882,1882-09-01
54,clunet-1882-6,1882,1882-11-01
55,clunet-1883-1,1883,1883-01-01
56,clunet-1883-2,1883,1883-03-01
57,clunet-1883-3,1883,1883-05-01
58,clunet-1883-4,1883,1883-07-01
59,clunet-1883-5,1883,1883-09-01
60,clunet-1883-6,1883,1883-11-01
61,clunet-1884-1,1884,1884-01-01
62,clunet-1884-2,1884,1884-03-01
63,clunet-1884-3,1884,1884-05-01
64,clunet-1884-4,1884,1884-07-01
65,clunet-1884-5,1884,1884-09-01
66,clunet-1884-6,1884,1884-11-01
67,clunet-1885-1,1885,1885-01-01
68,clunet-1885-2,1885,1885-03-01
69,clunet-1885-3,1885,1885-05-01
70,clunet-1885-4,1885,1885-07-01
71,clunet-1885-5,1885,1885-09-01
72,clunet-1885-6,1885,1885-11-01
73,clunet-1886-1,1886,1886-01-01
74,clunet-1886-2,1886,1886-03-01
75,clunet-1886-3,1886,1886-05-01
76,clunet-1886-4,1886,1886-07-01
77,clunet-1886-5,1886,1886-09-01
78,clunet-1886-6,1886,1886-11-01
79,clunet-1887-1,1887,1887-01-01
80,clunet-1887-2,1887,1887-03-01
81,clunet-1887-3,1887,1887-05-01
82,clunet-1887-4,1887,1887-07-01
83,clunet-1887-5,1887,1887-09-01
84,clunet-1887-6,1887,1887-11-01
85,clunet-1888-1,1888,1888-01-01
86,clunet-1888-2,1888,1888-03-01
87,clunet-1888-3,1888,1888-05-01
88,clunet-1888-4,1888,1888-07-01
89,clunet-1888-5,1888,1888-09-01
90,clunet-1888-6,1888,1888-11-01
91,clunet-1889-1,1889,1889-01-01
92,clunet-1889-2,1889,1889-03-01
93,clunet-1889-3,1889,1889-05-01
94,clunet-1889-4,1889,1889-07-01
95,clunet-1889-5,1889,1889-11-01
96,clunet-1890-1,1890,1890-01-01
97,clunet-1890-2,1890,1890-01-01
98,clunet-1890-3,1890,1890-01-01
99,clunet-1890-4,1890,1890-01-01
100,clunet-1890-5,1890,1890-01-01
101,clunet-1891-1,1891,1891-01-01
102,clunet-1891-2,1891,1891-01-01
103,clunet-1891-3,1891,1891-01-01
104,clunet-1891-4,1891,1891-01-01
105,clunet-1892-1,1892,1892-01-01
106,clunet-1892-2,1892,1892-01-01
107,clunet-1892-3,1892,1892-01-01
108,clunet-1892-4,1892,1892-01-01
109,clunet-1892-5,1892,1892-01-01
110,clunet-1893-1,1893,1893-01-01
111,clunet-1893-2,1893,1893-01-01
112,clunet-1893-3,1893,1893-01-01
113,clunet-1893-4,1893,1893-01-01
114,clunet-1893-5,1893,1893-01-01
115,clunet-1894-1,1894,1894-01-01
116,clunet-1894-2,1894,1894-01-01
117,clunet-1894-3,1894,1894-01-01
118,clunet-1894-4,1894,1894-01-01
119,clunet-1894-5,1894,1894-01-01
120,clunet-1895-1,1895,1895-01-01
121,clunet-1895-2,1895,1895-01-01
122,clunet-1895-3,1895,1895-01-01
123,clunet-1895-4,1895,1895-01-01
124,clunet-1895-5,1895,1895-01-01
125,clunet-1896-1,1896,1896-01-01
126,clunet-1896-2,1896,1896-01-01
127,clunet-1896-3,1896,1896-01-01
128,clunet-1896-4,1896,1896-01-01
129,clunet-1896-5,1896,1896-01-01
130,clunet-1897-1,1897,1897-01-01
131,clunet-1897-2,1897,1897-01-01
132,clunet-1897-3,1897,1897-01-01
133,clunet-1897-4,1897,1897-01-01
134,clunet-1897-5,1897,1897-01-01
135,clunet-1898-1,1898,1898-01-01
136,clunet-1898-2,1898,1898-01-01
137,clunet-1898-3,1898,1898-01-01
138,clunet-1898-4,1898,1898-01-01
139,clunet-1898-5,1898,1898-01-01
140,clunet-1898-6,1898,1898-01-01
141,clunet-1899-1,1899,1899-01-01
142,clunet-1899-2,1899,1899-01-01
143,clunet-1899-3,1899,1899-01-01
144,clunet-1899-4,1899,1899-01-01
145,clunet-1899-5,1899,1899-01-01
146,clunet-1900-1,1900,1900-01-01
147,clunet-1900-2,1900,1900-01-01
148,clunet-1900-3,1900,1900-01-01
149,clunet-1900-4,1900,1900-01-01
150,clunet-1900-5,1900,1900-01-01
152,clunet-1901-1,1901,1901-01-01
153,clunet-1901-2,1901,1901-01-01
154,clunet-1901-3,1901,1901-01-01
155,clunet-1901-4,1901,1901-01-01
156,clunet-1901-5,1901,1901-01-01
158,clunet-1902-1,1902,1902-01-01
159,clunet-1902-2,1902,1902-01-01
160,clunet-1902-3,1902,1902-01-01
161,clunet-1902-4,1902,1902-01-01
162,clunet-1902-5,1902,1902-01-01
164,clunet-1903-1,1903,1903-01-01
165,clunet-1903-2,1903,1903-01-01
166,clunet-1903-3,1903,1903-01-01
167,clunet-1903-4,1903,1903-01-01
168,clunet-1903-5,1903,1903-01-01
169,clunet-1904-1,1904,1904-01-01
170,clunet-1904-2,1904,1904-01-01
171,clunet-1904-3,1904,1904-01-01
172,clunet-1904-4,1904,1904-01-01
173,clunet-1904-5,1904,1904-01-01
174,clunet-1905-1,1905,1905-01-01
175,clunet-1905-2,1905,1905-01-01
176,clunet-1905-3,1905,1905-01-01
177,clunet-1905-4,1905,1905-01-01
178,clunet-1905-5,1905,1905-01-01
179,clunet-1906-1,1906,1906-01-01
180,clunet-1906-2,1906,1906-01-01
181,clunet-1906-3,1906,1906-01-01
182,clunet-1906-4,1906,1906-01-01
183,clunet-1907-1,1907,1907-01-01
184,clunet-1907-2,1907,1907-01-01
