index,systemID,year,date
1,gtme-1910-11,1910,1910-11-10
2,gtme-1910-12,1910,1910-12-10
3,gtme-1911-01,1911,1911-01-10
4,gtme-1911-02,1911,1911-02-10
5,gtme-1911-03,1911,1911-03-10
6,gtme-1911-04,1911,1911-04-10
7,gtme-1911-05,1911,1911-05-10
8,gtme-1911-06,1911,1911-06-10
9,gtme-1911-07,1911,1911-07-10
10,gtme-1911-08,1911,1911-08-10
11,gtme-1911-09,1911,1911-09-10
12,gtme-1911-10,1911,1911-10-10
13,gtme-1911-11,1911,1911-11-10
14,gtme-1911-12,1911,1911-12-10
15,gtme-1912-01,1912,1912-01-10
16,gtme-1912-02,1912,1912-02-10
17,gtme-1912-03,1912,1912-03-10
18,gtme-1912-04,1912,1912-04-10
19,gtme-1912-05,1912,1912-05-10
20,gtme-1912-06,1912,1912-06-10
21,gtme-1912-07,1912,1912-07-10
22,gtme-1912-08,1912,1912-08-10
23,gtme-1912-09,1912,1912-09-10
24,gtme-1912-10,1912,1912-10-10
25,gtme-1912-11,1912,1912-11-10
26,gtme-1912-12,1912,1912-12-10
27,gtme-1913-01,1913,1913-01-10
28,gtme-1913-02,1913,1913-02-10
29,gtme-1913-03,1913,1913-03-10
30,gtme-1913-04,1913,1913-04-10
31,gtme-1913-05,1913,1913-05-10
32,gtme-1913-06,1913,1913-06-10
33,gtme-1913-07,1913,1913-07-10
34,gtme-1913-08,1913,1913-08-10
35,gtme-1913-09,1913,1913-09-10
36,gtme-1913-10,1913,1913-10-10
37,gtme-1913-11,1913,1913-11-10
38,gtme-1913-12,1913,1913-12-10
39,gtme-1914-01,1914,1914-01-10
40,gtme-1914-02,1914,1914-02-10
41,gtme-1914-03,1914,1914-03-10
42,gtme-1914-04,1914,1914-04-10
43,gtme-1914-05,1914,1914-05-10
44,gtme-1914-06,1914,1914-06-10
45,gtme-1914-07,1914,1914-07-10
46,gtme-1914-08,1914,1914-08-10
47,gtme-1914-09,1914,1914-09-10
48,gtme-1914-10,1914,1914-10-10
49,gtme-1914-11,1914,1914-11-10
50,gtme-1914-12,1914,1914-12-10
51,gtme-1915-01,1915,1915-01-10
