index,systemID,year,date
1,jtre-04-1878,1878,1878-10-01
2,jtre-05-1879,1879,1879-10-01
3,jtre-06-1880,1880,1880-10-01
4,jtre-07-1881,1881,1881-10-01
5,jtre-08-1882,1882,1882-10-01
6,jtre-09-1883,1883,1883-10-01
7,jtre-10-1884,1884,1884-10-01
8,jtre-11-1885,1885,1885-10-01
9,jtre-12-1886,1886,1886-10-01
10,jtre-13-1887,1887,1887-10-01
11,jtre-14-1888,1888,1888-10-01
12,jtre-15-1889,1889,1889-10-01
13,jtre-16-1890,1890,1890-10-01
14,jtre-17-1891,1891,1891-10-01
15,jtre-18-1892,1892,1892-10-01
16,jtre-19-1893,1893,1893-10-01
17,jtre-20-1894,1894,1894-10-01
18,jtre-21-1895,1895,1895-10-01
19,jtre-22-1896,1896,1896-10-01
20,jtre-23-1897,1897,1897-10-01
21,jtre-24-1898,1898,1898-10-01
22,jtre-25-1899,1899,1899-10-01
23,jtre-26-1900,1900,1900-10-01
24,jtre-27-1901,1901,1901-10-01
25,jtre-28-1902,1902,1902-10-01
26,jtre-29-1903,1903,1903-10-01
27,jtre-30-1904,1904,1904-10-01
28,jtre-31-1905,1905,1905-10-01
